new_id,point1,point2,point3,Final_point
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.2857142857142858,1.5806451612903225,2.8223885840882925,11.377496062185802
4,1.2857142857142858,2.2333333333333334,2.4795657965743882,11.997226831244014
5,4.555555555555555,2.2962962962962963,2.760623515950779,9.612475367802631
6,3.2222222222222223,0.0,2.708520399019056,17.792227863723834
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
10,0.0,0.0,0.0,0.0
11,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,1.2857142857142858,1.5806451612903225,2.562526008436168,5.428885455440776
26,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
27,1.2857142857142858,3.5384615384615383,2.5309205053994313,36.775481647876276
28,1.2857142857142858,2.2333333333333334,2.518542918415225,6.037590537462844
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
